Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
,,,,,,,AAPL,AAPL,AAPL,AAPL,AAPL,,,
2021-01-04,2021,1,4,Monday,01,2021-01,129.73,129.82,123.17,125.74,143301900,0.0,125.74,125.74
2021-01-05,2021,1,5,Tuesday,01,2021-01,125.24,128.0,124.79,127.3,97664900,0.012363490654085929,126.52,126.52
2021-01-06,2021,1,6,Wednesday,01,2021-01,124.1,127.33,122.8,123.01,155088000,-0.03366133508981495,125.35000000000001,125.35000000000001
2021-01-07,2021,1,7,Thursday,01,2021-01,124.72,127.9,124.23,127.21,109578200,0.03412336296034879,125.815,125.815
2021-01-08,2021,1,8,Friday,01,2021-01,128.68,128.87,126.54,128.31,105158200,0.00863098583169597,126.314,126.314
2021-01-11,2021,1,11,Monday,02,2021-02,125.53,126.48,124.86,125.32,100384500,-0.023248766955880407,126.14833333333333,126.14833333333333
2021-01-12,2021,1,12,Tuesday,02,2021-02,124.86,126.01,123.26,125.15,91951100,-0.0013955634669683414,126.00571428571428,126.00571428571428
2021-01-13,2021,1,13,Wednesday,02,2021-02,125.11,127.72,124.85,127.18,88636800,0.01622680300249657,126.1525,126.1525
2021-01-14,2021,1,14,Thursday,02,2021-02,127.09,127.29,125.11,125.26,90221800,-0.015127005815559591,126.05333333333334,126.05333333333334
2021-01-15,2021,1,15,Friday,02,2021-02,125.13,126.53,123.4,123.54,111598500,-0.01373065089968406,125.80199999999999,125.80199999999999
2021-01-19,2021,1,19,Tuesday,03,2021-03,124.16,125.06,123.34,124.21,90757300,0.005427060065681832,125.65727272727273,125.65727272727273
2021-01-20,2021,1,20,Wednesday,03,2021-03,125.01,128.73,124.91,128.29,104319500,0.03285607150862213,125.87666666666667,125.87666666666667
2021-01-21,2021,1,21,Thursday,03,2021-03,130.01,135.71,129.8,132.99,120150900,0.03665847228651753,126.42384615384616,126.42384615384616
2021-01-22,2021,1,22,Friday,03,2021-03,132.42,135.88,131.19,135.13,114459400,0.016073381148034693,127.04571428571428,127.04571428571428
2021-01-25,2021,1,25,Monday,04,2021-04,139.01,140.98,132.67,138.87,157611700,0.027683817356071838,127.98357142857142,127.834
2021-01-26,2021,1,26,Tuesday,04,2021-04,139.53,140.21,137.36,139.1,98390600,0.001679625546570529,128.82642857142858,128.538125
2021-01-27,2021,1,27,Wednesday,04,2021-04,139.36,140.21,136.43,138.03,140843800,-0.007683748049061245,129.89928571428572,129.0964705882353
2021-01-28,2021,1,28,Thursday,04,2021-04,135.56,137.96,132.82,133.2,142621100,-0.03498521679782107,130.32714285714286,129.32444444444445
2021-01-29,2021,1,29,Friday,04,2021-04,131.98,132.86,126.52,128.22,177523800,-0.037420619205991046,130.32071428571427,129.26631578947368
2021-02-01,2021,2,1,Monday,05,2021-05,129.96,131.54,127.22,130.34,106239800,0.016520067043265474,130.67928571428573,129.32
2021-02-02,2021,2,2,Tuesday,05,2021-05,131.88,132.45,130.79,131.16,83305400,0.006336524287941403,131.10857142857142,129.40761904761905
2021-02-03,2021,2,3,Wednesday,05,2021-05,131.91,131.92,129.82,130.14,89880900,-0.007778382977693732,131.32,129.4409090909091
2021-02-04,2021,2,4,Thursday,05,2021-05,132.44,133.5,130.77,133.49,84183100,0.025757965869903865,131.90785714285715,129.61695652173913
2021-02-05,2021,2,5,Friday,05,2021-05,133.66,133.72,132.21,133.08,75693800,-0.0030979452723386425,132.58928571428572,129.76125
2021-02-08,2021,2,8,Monday,06,2021-06,132.37,133.28,131.29,133.23,71297200,0.0010967025656647422,133.23357142857142,129.9
2021-02-09,2021,2,9,Tuesday,06,2021-06,132.94,134.17,132.2,132.35,76774200,-0.006573923018740713,133.52357142857142,129.99423076923077
2021-02-10,2021,2,10,Wednesday,06,2021-06,132.81,133.3,130.78,131.75,73046600,-0.004557766488051396,133.435,130.05925925925925
2021-02-11,2021,2,11,Thursday,06,2021-06,132.24,132.72,130.17,131.49,64280000,-0.001920958121005123,133.175,130.11035714285714
2021-02-12,2021,2,12,Friday,06,2021-06,130.74,131.88,130.09,131.73,60145100,0.0017760068380614502,132.665,130.16620689655173
2021-02-16,2021,2,16,Tuesday,07,2021-07,131.85,132.35,129.22,129.61,80576300,-0.016103761494330127,131.98714285714286,130.14766666666665
2021-02-17,2021,2,17,Wednesday,07,2021-07,127.72,128.66,125.99,127.32,97918500,-0.017644190338770183,131.22214285714284,130.05645161290323
2021-02-18,2021,2,18,Thursday,07,2021-07,125.72,126.5,123.98,126.22,96856700,-0.008636322807103358,130.72357142857143,129.9365625
2021-02-19,2021,2,19,Friday,07,2021-07,126.74,127.19,125.34,126.38,87668800,0.0012336801076546777,130.59214285714285,129.8287878787879
2021-02-22,2021,2,22,Monday,08,2021-08,124.57,126.23,122.22,122.61,103916400,-0.029799316087801953,130.04,129.6164705882353
